gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|103193|estExt_Genewise1Plus.C_4_t10348	34.49143	0.1014868	0.17903642	0.1937281	0.4461879
jgi|Aurli1|103220|estExt_Genewise1Plus.C_4_t10386	230.1926	0.1747758	0.19552745	0.05404449	0.2233112
jgi|Aurli1|10323|gm1.10323_g	69.96374	-0.2133689	0.38535382	0.05002594	0.2136004
jgi|Aurli1|10324|gm1.10324_g	18.17055	-0.6162664	0.58514701	0.003722307	0.0481468
jgi|Aurli1|10332|gm1.10332_g	65.2682	0.2090156	0.29133023	0.04657009	0.2064728
jgi|Aurli1|103353|estExt_Genewise1Plus.C_4_t20057	100.1487	-0.758827	0.35737937	0.0003236544	0.01088059
jgi|Aurli1|103368|estExt_Genewise1Plus.C_4_t20081	66.09385	0.05022953	0.09885535	0.4891367	0.7201895
jgi|Aurli1|103378|estExt_Genewise1Plus.C_4_t20096	128.4286	0.0931764	0.12901132	0.225512	0.4831619
jgi|Aurli1|103380|estExt_Genewise1Plus.C_4_t20098	52.05591	-0.2198966	0.24363221	0.0322931	0.1703591
jgi|Aurli1|10342|gm1.10342_g	1569.843	0.05396151	0.17024761	0.4426272	0.6856056
jgi|Aurli1|10343|gm1.10343_g	67.8987	0.01000748	0.16174143	0.8801646	0.9446821
jgi|Aurli1|10345|gm1.10345_g	260.008	-0.05183179	0.13302522	0.480396	0.7135853
jgi|Aurli1|103455|estExt_Genewise1Plus.C_4_t20209	371.7427	0.04673141	0.12471262	0.5273252	0.7474635
jgi|Aurli1|10346|gm1.10346_g	23.0028	0.01392905	0.18591672	0.8294586	0.9205892
jgi|Aurli1|103547|estExt_Genewise1Plus.C_5_t10062	218.0321	-0.02359369	0.13278868	0.7422362	0.874511
jgi|Aurli1|103583|estExt_Genewise1Plus.C_5_t10103	1166.697	0.1312528	0.091309	0.06505492	0.2482714
jgi|Aurli1|10361|gm1.10361_g	92.35452	-0.06434038	0.23801879	0.3600692	0.6180708
jgi|Aurli1|103626|estExt_Genewise1Plus.C_5_t10153	14.2831	0.1076676	0.16230465	0.1720248	0.4206409
jgi|Aurli1|10364|gm1.10364_g	3187.018	0.2175285	0.10361282	0.004533685	0.0537957
jgi|Aurli1|10365|gm1.10365_g	80.12822	-0.1018271	0.10505651	0.1735521	0.4226192
jgi|Aurli1|103650|estExt_Genewise1Plus.C_5_t10187	31.21179	-0.4247057	0.42265897	0.008246215	0.07557068
jgi|Aurli1|1037|gm1.1037_g	1129.636	0.1585143	0.15458589	0.06117843	0.2390453
jgi|Aurli1|10371|gm1.10371_g	0.7913091	-0.09012068	0.30316627	0.2135075	NA
jgi|Aurli1|10377|gm1.10377_g	256.5429	-0.003602428	0.11707128	0.9608891	0.9823077
jgi|Aurli1|10378|gm1.10378_g	311.3811	0.1252043	0.08260849	0.06313545	0.2438181
jgi|Aurli1|10382|gm1.10382_g	119.7966	0.09130066	0.11976003	0.2320264	0.4895857
jgi|Aurli1|10385|gm1.10385_g	425.7778	0.07826027	0.1319027	0.3010552	0.5625324
jgi|Aurli1|10386|gm1.10386_g	1.018367	-0.1258749	0.33297961	0.1273365	NA
jgi|Aurli1|10387|gm1.10387_g	51.41567	-0.4385576	0.71194869	0.002899329	0.04181612
jgi|Aurli1|10391|gm1.10391_g	101.7781	-0.03291302	0.11049639	0.6560633	0.8264968
jgi|Aurli1|10398|gm1.10398_g	336.6082	-0.08854608	0.1158855	0.2438181	0.503108
jgi|Aurli1|103990|estExt_Genewise1Plus.C_5_t20151	108.8141	0.02944703	0.16674816	0.6616521	0.8297721
jgi|Aurli1|103997|estExt_Genewise1Plus.C_5_t20158	4619.12	0.006958203	0.08142536	0.9168281	0.9596577
jgi|Aurli1|104016|estExt_Genewise1Plus.C_5_t20224	3426.953	-0.2074569	0.19383207	0.02894833	0.1597482
jgi|Aurli1|10402|gm1.10402_g	1350.838	0.01669758	0.13016528	0.8164706	0.9133426
jgi|Aurli1|10404|gm1.10404_g	489.0942	0.01768046	0.11062421	0.8104104	0.9106496
jgi|Aurli1|10405|gm1.10405_g	173.7487	0.01286986	0.10192199	0.859867	0.9344994
jgi|Aurli1|10406|gm1.10406_g	2142.628	-0.04017844	0.14724989	0.5693752	0.7736035
jgi|Aurli1|104123|estExt_Genewise1Plus.C_6_t10039	98.06837	-0.217046	0.21247442	0.02777405	0.1569832
jgi|Aurli1|104130|estExt_Genewise1Plus.C_6_t10049	539.5393	-0.04137721	0.12334744	0.5749731	0.7777988
jgi|Aurli1|104178|estExt_Genewise1Plus.C_6_t10112	484.4322	-0.04949553	0.09538491	0.4903834	0.7210568
jgi|Aurli1|10418|gm1.10418_g	27.03448	-0.2205212	0.28412676	0.03888715	0.1883444
jgi|Aurli1|10419|gm1.10419_g	484.1123	0.100737	0.10844553	0.1818164	0.4322001
jgi|Aurli1|104211|estExt_Genewise1Plus.C_6_t10165	292.4052	0.03381856	0.10270348	0.6439182	0.8200512
jgi|Aurli1|10423|gm1.10423_g	107.0703	0.08432841	0.24377159	0.2604824	0.522725
jgi|Aurli1|10424|gm1.10424_g	10.27037	0.06643312	0.20429821	0.3528861	0.6113308
jgi|Aurli1|10430|gm1.10430_g	4.224899	-0.02341684	0.22599965	0.7110558	0.8584221
jgi|Aurli1|10437|gm1.10437_g	27.69272	-0.1283175	0.34549074	0.1172078	0.3418393
jgi|Aurli1|10444|gm1.10444_g	107.2784	0.08907672	0.1283921	0.2446309	0.5039701
jgi|Aurli1|104459|estExt_Genewise1Plus.C_6_t10490	34.64874	-0.1363014	0.26564353	0.1200114	0.3459585
jgi|Aurli1|104466|estExt_Genewise1Plus.C_6_t20005	148.1043	-0.09845602	0.10944667	0.1924956	0.445188
jgi|Aurli1|10448|gm1.10448_g	21.49855	0.003267251	0.14664329	0.9619561	0.9824261
jgi|Aurli1|104497|estExt_Genewise1Plus.C_6_t20041	104.134	0.07479248	0.10518073	0.3136022	0.5747828
jgi|Aurli1|10451|gm1.10451_g	10.86266	0.0120391	0.22974302	0.8454173	0.9289549
jgi|Aurli1|10453|gm1.10453_g	18.78957	-0.1351711	0.27998209	0.1230312	0.3501899
jgi|Aurli1|104533|estExt_Genewise1Plus.C_6_t20086	261.5531	-0.05407383	0.1734591	0.4407082	0.6840844
jgi|Aurli1|10455|gm1.10455_g	0.4101514	0.009165958	0.26244329	0.8700779	NA
jgi|Aurli1|104577|estExt_Genewise1Plus.C_6_t20149	531.1248	-0.06917279	0.12313595	0.3579402	0.6159701
jgi|Aurli1|10459|gm1.10459_g	390.3881	0.06379939	0.10113827	0.3839236	0.6387311
jgi|Aurli1|1046|gm1.1046_g	1.893486	-0.01184571	0.20638738	0.8520181	0.930846
jgi|Aurli1|10460|gm1.10460_g	152.079	0.2391373	0.11375159	0.003003632	0.04281378
jgi|Aurli1|10461|gm1.10461_g	0.9469904	8.603007e-05	0.27843787	0.9986443	NA
jgi|Aurli1|10465|gm1.10465_g	3.331585	-0.02787418	0.2102579	0.666979	0.8331539
jgi|Aurli1|104678|estExt_Genewise1Plus.C_6_t20298	526.2064	0.08885457	0.10506056	0.2331124	0.4907377
jgi|Aurli1|10468|gm1.10468_g	78.15999	0.009429117	0.11084968	0.8981186	0.951381
jgi|Aurli1|104715|estExt_Genewise1Plus.C_6_t20348	153.5355	0.04046742	0.08539674	0.5538997	0.7643065
jgi|Aurli1|10474|gm1.10474_g	160.7127	-0.01296685	0.14609754	0.8505814	0.9308417
jgi|Aurli1|104773|estExt_Genewise1Plus.C_7_t10061	198.206	-0.1807434	0.28577758	0.06686771	0.2520704
jgi|Aurli1|104785|estExt_Genewise1Plus.C_7_t10077	199.6921	0.07163123	0.07054766	0.2397815	0.4987372
jgi|Aurli1|10482|gm1.10482_g	180.4139	-0.1263597	0.13682273	0.1141516	0.337576
jgi|Aurli1|10486|gm1.10486_g	202.7146	0.001382247	0.1357206	0.9843864	0.9927512
jgi|Aurli1|104882|estExt_Genewise1Plus.C_7_t10208	16091.85	0.2803472	0.23281604	0.01095068	0.08933514
jgi|Aurli1|10489|gm1.10489_g	7.089907	-0.3495454	0.52616015	0.01548372	0.1109628
jgi|Aurli1|104908|estExt_Genewise1Plus.C_7_t10242	4674.998	-0.1075179	0.10249894	0.1482476	0.3854848
jgi|Aurli1|10491|gm1.10491_g	1.083444	-0.02307125	0.26553605	0.6866993	NA
jgi|Aurli1|10493|gm1.10493_g	723.0044	-0.2835147	0.23996143	0.01119656	0.09057646
jgi|Aurli1|104965|estExt_Genewise1Plus.C_7_t10320	775.6483	-0.04044111	0.09558481	0.5730051	0.7762416
jgi|Aurli1|10503|gm1.10503_g	1.189825	-0.02591407	0.26750761	0.6510821	NA
jgi|Aurli1|10504|gm1.10504_g	3.967563	-0.2967657	0.43621304	0.02462185	0.146057
jgi|Aurli1|105041|estExt_Genewise1Plus.C_7_t10435	80.19432	0.008895546	0.11908322	0.9034543	0.9538432
jgi|Aurli1|105049|estExt_Genewise1Plus.C_7_t10443	241.4325	-0.0731569	0.10816518	0.3269294	0.5883161
jgi|Aurli1|10505|gm1.10505_g	3.475501	-0.1006392	0.25096658	0.2019583	0.4547245
jgi|Aurli1|105065|estExt_Genewise1Plus.C_7_t10466	73754.2	-0.1098004	0.11678684	0.1539957	0.3940852
jgi|Aurli1|10507|gm1.10507_g	31.02269	0.04708334	0.12830793	0.5224685	0.743537
jgi|Aurli1|10508|gm1.10508_g	15.5702	0.02510121	0.14310199	0.7199069	0.8628893
jgi|Aurli1|105083|estExt_Genewise1Plus.C_7_t10490	1140.032	0.04061333	0.111113	0.5835189	0.7836328
jgi|Aurli1|10512|gm1.10512_g	430.7738	0.0863255	0.07732277	0.1821758	0.4322127
jgi|Aurli1|105226|estExt_Genewise1Plus.C_7_t20173	1258.514	-0.03431384	0.06857772	0.5658402	0.7711673
jgi|Aurli1|10524|gm1.10524_g	482.8877	0.08584753	0.10568516	0.2495897	0.5105643
jgi|Aurli1|105291|estExt_Genewise1Plus.C_7_t20259	358.3139	-0.155274	0.10667875	0.04242376	0.1966531
jgi|Aurli1|10534|gm1.10534_g	4.051039	-0.0523328	0.23747587	0.4386288	0.6824816
jgi|Aurli1|105381|estExt_Genewise1Plus.C_8_t10037	123.9309	-0.07739013	0.11036965	0.3022333	0.5638001
jgi|Aurli1|10539|gm1.10539_g	9.068053	-0.3457433	0.50286147	0.0168067	0.1159041
jgi|Aurli1|10544|gm1.10544_g	21.35917	-0.1679048	0.30233005	0.08115956	0.2784902
jgi|Aurli1|105487|estExt_Genewise1Plus.C_8_t10169	100.1182	-0.06462989	0.10246565	0.3795304	0.6348071
jgi|Aurli1|10550|gm1.10550_g	16.11214	-0.1578182	0.30066011	0.09211902	0.299671
jgi|Aurli1|105514|estExt_Genewise1Plus.C_8_t10202	292.9936	-0.06056543	0.11477406	0.4180067	0.6658027
jgi|Aurli1|10553|gm1.10553_g	332.8583	-0.1297194	0.18879488	0.1188732	0.3445185
jgi|Aurli1|105535|estExt_Genewise1Plus.C_8_t10229	235.084	-0.1288918	0.07717514	0.04615522	0.2054001
jgi|Aurli1|105574|estExt_Genewise1Plus.C_8_t10279	351.2787	0.01147054	0.07737145	0.859259	0.9341878
jgi|Aurli1|105585|estExt_Genewise1Plus.C_8_t10290	207.3119	0.03259583	0.09621111	0.6501167	0.8227616
jgi|Aurli1|10559|gm1.10559_g	9.085815	-0.2322531	0.39574118	0.04207917	0.1961401
jgi|Aurli1|1056|gm1.1056_g	255.6841	-0.09686799	0.12713906	0.2089465	0.4630477
jgi|Aurli1|105607|estExt_Genewise1Plus.C_8_t10312	9445.922	0.01400142	0.12409113	0.8475545	0.9295969
jgi|Aurli1|10567|gm1.10567_g	89.90627	-0.6324697	0.39020772	0.00119839	0.02450768
jgi|Aurli1|10569|gm1.10569_g	52.09989	-0.003357804	0.1398689	0.9616359	0.9823308
jgi|Aurli1|105729|estExt_Genewise1Plus.C_8_t10488	459.6482	-0.006212135	0.07034047	0.9186539	0.9601476
