gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|10507|gm1.10507_g	31.02269	0.4319662	0.29437183	0.08708855	0.1504395
jgi|Aurli1|10508|gm1.10508_g	15.5702	0.5947209	0.3832179	0.04724903	0.09077081
jgi|Aurli1|105083|estExt_Genewise1Plus.C_7_t10490	1140.032	0.2962444	0.22260507	0.1461837	0.2308737
jgi|Aurli1|10512|gm1.10512_g	430.7738	0.2723564	0.12876866	0.02938525	0.06082959
jgi|Aurli1|105226|estExt_Genewise1Plus.C_7_t20173	1258.514	0.2741301	0.11205416	0.01236306	0.02901015
jgi|Aurli1|10524|gm1.10524_g	482.8877	0.2461488	0.19605845	0.1790584	0.2717393
jgi|Aurli1|105291|estExt_Genewise1Plus.C_7_t20259	358.3139	-0.003969136	0.17806747	0.981211	0.9884763
jgi|Aurli1|10534|gm1.10534_g	4.051039	-1.766054	1.17702857	0.007917284	0.01973665
jgi|Aurli1|105381|estExt_Genewise1Plus.C_8_t10037	123.9309	-0.1952017	0.21044576	0.3160538	0.4256337
jgi|Aurli1|10539|gm1.10539_g	9.068053	-2.05445	1.03363222	0.001999302	0.005935864
jgi|Aurli1|10544|gm1.10544_g	21.35917	-4.963023	0.74602124	2.063513e-12	3.477488e-11
jgi|Aurli1|105487|estExt_Genewise1Plus.C_8_t10169	100.1182	-1.704778	0.21279406	2.460305e-17	8.036636e-16
jgi|Aurli1|10550|gm1.10550_g	16.11214	-2.731256	0.86856363	8.583942e-05	0.0003583892
jgi|Aurli1|105514|estExt_Genewise1Plus.C_8_t10202	292.9936	0.1645967	0.22774261	0.4286213	0.5387281
jgi|Aurli1|10553|gm1.10553_g	332.8583	-0.3373863	0.36100102	0.2411922	0.3433696
jgi|Aurli1|105535|estExt_Genewise1Plus.C_8_t10229	235.084	-1.108507	0.13302727	4.983518e-18	1.822819e-16
jgi|Aurli1|105574|estExt_Genewise1Plus.C_8_t10279	351.2787	0.9234355	0.13463445	1.046874e-12	1.839472e-11
jgi|Aurli1|105585|estExt_Genewise1Plus.C_8_t10290	207.3119	-0.1517169	0.17786681	0.3673477	0.4788824
jgi|Aurli1|10559|gm1.10559_g	9.085815	-4.416236	0.93498679	2.117439e-07	1.554535e-06
jgi|Aurli1|1056|gm1.1056_g	255.6841	0.6665243	0.26255747	0.003968894	0.01086756
jgi|Aurli1|105607|estExt_Genewise1Plus.C_8_t10312	9445.922	0.09889516	0.27090224	0.6779705	0.7637726
jgi|Aurli1|10567|gm1.10567_g	89.90627	-1.616956	0.49003855	2.874204e-05	0.0001347595
jgi|Aurli1|10569|gm1.10569_g	52.09989	-2.296453	0.42929968	7.338501e-09	7.066881e-08
jgi|Aurli1|105729|estExt_Genewise1Plus.C_8_t10488	459.6482	0.1041243	0.11617554	0.3588846	0.4702888
jgi|Aurli1|10580|gm1.10580_g	201.0491	-0.8487399	0.17842428	3.97988e-07	2.799887e-06
jgi|Aurli1|105818|estExt_Genewise1Plus.C_8_t20083	3144.778	3.21536	0.26400875	1.425085e-34	3.522335e-32
jgi|Aurli1|10586|gm1.10586_g	20.86716	-0.2796326	0.36118463	0.3310186	0.4418149
jgi|Aurli1|10590|gm1.10590_g	22.58547	-2.022734	0.58230974	1.818609e-05	8.9631e-05
jgi|Aurli1|105921|estExt_Genewise1Plus.C_9_t10019	1033.801	0.3937256	0.17650291	0.01826638	0.04051912
jgi|Aurli1|105931|estExt_Genewise1Plus.C_9_t10029	116.9191	0.4635973	0.25418974	0.04049078	0.07987208
jgi|Aurli1|10594|gm1.10594_g	156.2759	-0.02212224	0.20098065	0.9060022	0.9362422
jgi|Aurli1|10599|gm1.10599_g	3.47685	-0.9997652	1.10254394	0.062633	0.1148323
jgi|Aurli1|106013|estExt_Genewise1Plus.C_9_t10147	470.7117	0.2718723	0.12105935	0.0211671	0.04584608
jgi|Aurli1|10607|gm1.10607_g	395.992	-0.226005	0.22193159	0.2667093	0.3729303
jgi|Aurli1|10610|gm1.10610_g	500.6068	-4.2212	0.29514132	3.780329e-47	2.950646e-44
jgi|Aurli1|10611|gm1.10611_g	2.044368	-0.1545502	0.8007088	0.68962	0.7734885
jgi|Aurli1|10613|gm1.10613_g	11.68278	0.3894582	0.37078134	0.1831681	0.2767865
jgi|Aurli1|10618|gm1.10618_g	18.88737	-0.5018202	0.65919382	0.1899698	0.2850893
jgi|Aurli1|106183|estExt_Genewise1Plus.C_9_t10366	597.2863	0.7778164	0.17371555	2.003188e-06	1.21598e-05
jgi|Aurli1|10620|gm1.10620_g	622.9067	0.4883168	0.19403777	0.006996437	0.01776687
