gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|1037|gm1.1037_g	1129.636	-0.0001547127	0.009240211	0.6762899	0.9996259
jgi|Aurli1|10371|gm1.10371_g	0.7913091	-0.002644787	0.068188143	0.4776992	0.9996259
jgi|Aurli1|10377|gm1.10377_g	256.5429	0.0005091248	0.012858494	0.2829374	0.9996259
jgi|Aurli1|10378|gm1.10378_g	311.3811	-0.0002047805	0.005551825	0.470144	0.9996259
jgi|Aurli1|10382|gm1.10382_g	119.7966	-8.617102e-05	0.007410027	0.7763772	0.9996259
jgi|Aurli1|10385|gm1.10385_g	425.7778	0.0007965689	0.017569262	0.2193454	0.9996259
jgi|Aurli1|10386|gm1.10386_g	1.018367	0.0008332852	0.047462757	0.7547817	0.9996259
jgi|Aurli1|10387|gm1.10387_g	51.41567	0.02157827	0.206943617	0.06602074	0.9996259
jgi|Aurli1|10391|gm1.10391_g	101.7781	0.0002166353	0.008196991	0.5034644	0.9996259
jgi|Aurli1|10398|gm1.10398_g	336.6082	-0.000118285	0.007352066	0.6932549	0.9996259
jgi|Aurli1|103990|estExt_Genewise1Plus.C_5_t20151	108.8141	-0.003120358	0.049293311	0.1552625	0.9996259
jgi|Aurli1|103997|estExt_Genewise1Plus.C_5_t20158	4619.12	0.000543961	0.008533794	0.1466169	0.9996259
jgi|Aurli1|104016|estExt_Genewise1Plus.C_5_t20224	3426.953	-0.0003203807	0.012142945	0.4988437	0.9996259
jgi|Aurli1|10402|gm1.10402_g	1350.838	-0.0001578263	0.010563232	0.7144618	0.9996259
jgi|Aurli1|10404|gm1.10404_g	489.0942	-8.104217e-05	0.007113605	0.7822321	0.9996259
jgi|Aurli1|10405|gm1.10405_g	173.7487	-0.0003267746	0.008560678	0.3314893	0.9996259
jgi|Aurli1|10406|gm1.10406_g	2142.628	0.0005858164	0.018351195	0.4294832	0.9996259
jgi|Aurli1|104123|estExt_Genewise1Plus.C_6_t10039	98.06837	0.000504089	0.015274618	0.3918148	0.9996259
jgi|Aurli1|104130|estExt_Genewise1Plus.C_6_t10049	539.5393	0.0001671608	0.009228125	0.6498558	0.9996259
jgi|Aurli1|104178|estExt_Genewise1Plus.C_6_t10112	484.4322	7.138644e-05	0.005784199	0.7839508	0.9996259
jgi|Aurli1|10418|gm1.10418_g	27.03448	-0.001022271	0.026019587	0.3476885	0.9996259
jgi|Aurli1|10419|gm1.10419_g	484.1123	0.0001377518	0.006782557	0.626247	0.9996259
jgi|Aurli1|104211|estExt_Genewise1Plus.C_6_t10165	292.4052	-7.854348e-05	0.006336113	0.7714235	0.9996259
jgi|Aurli1|10423|gm1.10423_g	107.0703	-0.0006120677	0.033917723	0.7314781	0.9996259
jgi|Aurli1|10424|gm1.10424_g	10.27037	0.00126738	0.034115498	0.4244085	0.9996259
jgi|Aurli1|10430|gm1.10430_g	4.224899	-0.001236327	0.048554487	0.6425986	0.9996259
jgi|Aurli1|10437|gm1.10437_g	27.69272	0.01103324	0.132186065	0.1232846	0.9996259
jgi|Aurli1|10444|gm1.10444_g	107.2784	0.001505394	0.024395176	0.1047619	0.9996259
jgi|Aurli1|104459|estExt_Genewise1Plus.C_6_t10490	34.64874	0.0009505828	0.030773983	0.5148058	0.9996259
jgi|Aurli1|104466|estExt_Genewise1Plus.C_6_t20005	148.1043	-0.0002144506	0.007560863	0.4822469	0.9996259
jgi|Aurli1|10448|gm1.10448_g	21.49855	0.0006057095	0.019346528	0.4470686	0.9996259
jgi|Aurli1|104497|estExt_Genewise1Plus.C_6_t20041	104.134	-0.0001722213	0.006960811	0.5505387	0.9996259
jgi|Aurli1|10451|gm1.10451_g	10.86266	0.0168449	0.164263036	0.07270038	0.9996259
jgi|Aurli1|10453|gm1.10453_g	18.78957	-0.04010839	0.22595719	0.01654087	0.8259298
jgi|Aurli1|104533|estExt_Genewise1Plus.C_6_t20086	261.5531	0.0004033239	0.020480887	0.6674779	0.9996259
jgi|Aurli1|10455|gm1.10455_g	0.4101514	-0.00106424	0.072597581	0.8001546	0.9996259
jgi|Aurli1|104577|estExt_Genewise1Plus.C_6_t20149	531.1248	-0.0002578855	0.009804829	0.4966522	0.9996259
jgi|Aurli1|10459|gm1.10459_g	390.3881	-0.0004812072	0.010121552	0.2154307	0.9996259
jgi|Aurli1|1046|gm1.1046_g	1.893486	-0.005718194	0.083252929	0.1759795	0.9996259
jgi|Aurli1|10460|gm1.10460_g	152.079	-0.0003476024	0.007710173	0.2818306	0.9996259
jgi|Aurli1|10461|gm1.10461_g	0.9469904	-0.004562222	0.107692135	0.4274721	0.9996259
jgi|Aurli1|10465|gm1.10465_g	3.331585	0.0006650599	0.037387669	0.7408101	0.9996259
jgi|Aurli1|104678|estExt_Genewise1Plus.C_6_t20298	526.2064	0.0002659065	0.007822779	0.3977129	0.9996259
jgi|Aurli1|10468|gm1.10468_g	78.15999	-0.0001348349	0.007499588	0.6575295	0.9996259
jgi|Aurli1|104715|estExt_Genewise1Plus.C_6_t20348	153.5355	0.0001230881	0.005458341	0.6450324	0.9996259
jgi|Aurli1|10474|gm1.10474_g	160.7127	-0.000154497	0.014071022	0.801854	0.9996259
jgi|Aurli1|104773|estExt_Genewise1Plus.C_7_t10061	198.206	0.0016832	0.036652844	0.3000769	0.9996259
jgi|Aurli1|104785|estExt_Genewise1Plus.C_7_t10077	199.6921	8.1774e-05	0.004868077	0.7805506	0.9996259
jgi|Aurli1|10482|gm1.10482_g	180.4139	-0.0007731333	0.016396308	0.1974981	0.9996259
jgi|Aurli1|10486|gm1.10486_g	202.7146	-5.442308e-05	0.011160272	0.9086369	0.9996259
jgi|Aurli1|104882|estExt_Genewise1Plus.C_7_t10208	16091.85	4.099794e-05	0.009772005	0.9198361	0.9996259
jgi|Aurli1|10489|gm1.10489_g	7.089907	-0.0002497581	0.036787197	0.9020041	0.9996259
jgi|Aurli1|104908|estExt_Genewise1Plus.C_7_t10242	4674.998	-0.00049362	0.010054336	0.2039207	0.9996259
jgi|Aurli1|10491|gm1.10491_g	1.083444	-0.002053001	0.07571166	0.632836	0.9996259
jgi|Aurli1|10493|gm1.10493_g	723.0044	-6.158432e-05	0.010151919	0.884548	0.9996259
jgi|Aurli1|104965|estExt_Genewise1Plus.C_7_t10320	775.6483	-0.0006495623	0.011471816	0.1414816	0.9996259
jgi|Aurli1|10503|gm1.10503_g	1.189825	0.00520935	0.10154351	0.3400861	0.9996259
jgi|Aurli1|10504|gm1.10504_g	3.967563	-0.001955684	0.044670193	0.3624139	0.9996259
jgi|Aurli1|105041|estExt_Genewise1Plus.C_7_t10435	80.19432	4.544692e-05	0.008022122	0.8902249	0.9996259
jgi|Aurli1|105049|estExt_Genewise1Plus.C_7_t10443	241.4325	0.0007426556	0.013960121	0.1495388	0.9996259
jgi|Aurli1|10505|gm1.10505_g	3.475501	-0.07173127	0.31663602	0.009272364	0.6091407
jgi|Aurli1|105065|estExt_Genewise1Plus.C_7_t10466	73754.2	0.0002341006	0.008281653	0.4727208	0.9996259
jgi|Aurli1|10507|gm1.10507_g	31.02269	1.476876	0.211685248	1.585793e-12	1.134116e-09
jgi|Aurli1|10508|gm1.10508_g	15.5702	1.523825	0.282837883	3.177304e-08	1.239985e-05
jgi|Aurli1|105083|estExt_Genewise1Plus.C_7_t10490	1140.032	0.004272489	0.041667705	0.02673247	0.9461635
jgi|Aurli1|10512|gm1.10512_g	430.7738	9.872001e-05	0.005056626	0.7218028	0.9996259
jgi|Aurli1|105226|estExt_Genewise1Plus.C_7_t20173	1258.514	4.963758e-05	0.004825115	0.8667308	0.9996259
jgi|Aurli1|10524|gm1.10524_g	482.8877	0.0001250362	0.006598491	0.6528174	0.9996259
jgi|Aurli1|105291|estExt_Genewise1Plus.C_7_t20259	358.3139	-0.000202993	0.006734752	0.4785819	0.9996259
jgi|Aurli1|10534|gm1.10534_g	4.051039	0.0002981508	0.039198823	0.891398	0.9996259
jgi|Aurli1|105381|estExt_Genewise1Plus.C_8_t10037	123.9309	-4.081187e-05	0.006598348	0.8829952	0.9996259
jgi|Aurli1|10539|gm1.10539_g	9.068053	-0.002781199	0.056203627	0.3180546	0.9996259
jgi|Aurli1|10544|gm1.10544_g	21.35917	-0.0019524	0.041812782	0.3104822	0.9996259
jgi|Aurli1|105487|estExt_Genewise1Plus.C_8_t10169	100.1182	-0.0002170634	0.007171714	0.4635629	0.9996259
jgi|Aurli1|10550|gm1.10550_g	16.11214	0.0001358876	0.026340669	0.9202493	0.9996259
jgi|Aurli1|105514|estExt_Genewise1Plus.C_8_t10202	292.9936	-0.000264435	0.009038951	0.4496368	0.9996259
jgi|Aurli1|10553|gm1.10553_g	332.8583	-0.0001722057	0.013718136	0.7715319	0.9996259
jgi|Aurli1|105535|estExt_Genewise1Plus.C_8_t10229	235.084	-0.0001851869	0.005215192	0.5214676	0.9996259
jgi|Aurli1|105574|estExt_Genewise1Plus.C_8_t10279	351.2787	0.0006945271	0.009413273	0.09830208	0.9996259
jgi|Aurli1|105585|estExt_Genewise1Plus.C_8_t10290	207.3119	-0.0001439745	0.006223177	0.596706	0.9996259
jgi|Aurli1|10559|gm1.10559_g	9.085815	-0.001732356	0.043104039	0.4105602	0.9996259
jgi|Aurli1|1056|gm1.1056_g	255.6841	-8.96243e-05	0.008059488	0.7846925	0.9996259
jgi|Aurli1|105607|estExt_Genewise1Plus.C_8_t10312	9445.922	2.426639e-05	0.008733384	0.9463352	0.9996259
jgi|Aurli1|10567|gm1.10567_g	89.90627	-0.0007146664	0.020301479	0.3826707	0.9996259
jgi|Aurli1|10569|gm1.10569_g	52.09989	-0.000351438	0.0145897	0.5553338	0.9996259
jgi|Aurli1|105729|estExt_Genewise1Plus.C_8_t10488	459.6482	-1.481285e-05	0.004846242	0.9591843	0.9996385
jgi|Aurli1|10580|gm1.10580_g	201.0491	-3.454911e-05	0.005661985	0.8932181	0.9996259
jgi|Aurli1|105818|estExt_Genewise1Plus.C_8_t20083	3144.778	8.513272e-06	0.007511043	0.9780722	0.9999277
jgi|Aurli1|10586|gm1.10586_g	20.86716	0.0008330524	0.021440463	0.3277816	0.9996259
jgi|Aurli1|10590|gm1.10590_g	22.58547	-0.0006184903	0.022117147	0.5252761	0.9996259
jgi|Aurli1|105921|estExt_Genewise1Plus.C_9_t10019	1033.801	-5.057212e-05	0.005758394	0.8451352	0.9996259
jgi|Aurli1|105931|estExt_Genewise1Plus.C_9_t10029	116.9191	0.02071257	0.106242501	0.006712384	0.5078809
jgi|Aurli1|10594|gm1.10594_g	156.2759	-6.582583e-05	0.006403318	0.8086541	0.9996259
jgi|Aurli1|10599|gm1.10599_g	3.47685	0.002339388	0.056122111	0.4224428	0.9996259
jgi|Aurli1|106013|estExt_Genewise1Plus.C_9_t10147	470.7117	0.0003152912	0.005691094	0.3122228	0.9996259
jgi|Aurli1|10607|gm1.10607_g	395.992	9.298278e-05	0.007167317	0.7522977	0.9996259
jgi|Aurli1|10610|gm1.10610_g	500.6068	-0.0003355164	0.011322799	0.4373231	0.9996259
jgi|Aurli1|10611|gm1.10611_g	2.044368	0.0001134803	0.065310789	0.9763672	0.9999277
jgi|Aurli1|10613|gm1.10613_g	11.68278	0.001320537	0.026435526	0.2019159	0.9996259
jgi|Aurli1|10618|gm1.10618_g	18.88737	-0.0004466845	0.034298117	0.8082371	0.9996259
