gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|10460|gm1.10460_g	152.079	0.06142556	0.13183697	0.6368224	0.6967741
jgi|Aurli1|10461|gm1.10461_g	0.9469904	-1.988326	1.51781346	0.009835753	0.01725795
jgi|Aurli1|10465|gm1.10465_g	3.331585	0.2197961	0.5685438	0.6159831	0.6781256
jgi|Aurli1|104678|estExt_Genewise1Plus.C_6_t20298	526.2064	-0.5564538	0.15492766	0.0002509548	0.0005857191
jgi|Aurli1|10468|gm1.10468_g	78.15999	0.2643228	0.181031	0.1342352	0.1825333
jgi|Aurli1|104715|estExt_Genewise1Plus.C_6_t20348	153.5355	0.4699726	0.11694413	4.860415e-05	0.0001265449
jgi|Aurli1|10474|gm1.10474_g	160.7127	-2.068296	0.35336553	1.585182e-10	8.211056e-10
jgi|Aurli1|104773|estExt_Genewise1Plus.C_7_t10061	198.206	-2.421692	0.49545251	3.74421e-08	1.482687e-07
jgi|Aurli1|104785|estExt_Genewise1Plus.C_7_t10077	199.6921	-0.2246276	0.08901907	0.01112569	0.01930922
jgi|Aurli1|10482|gm1.10482_g	180.4139	-1.273363	0.21300562	4.152686e-10	2.051444e-09
jgi|Aurli1|10486|gm1.10486_g	202.7146	2.004095	0.29856183	6.154475e-13	4.092864e-12
jgi|Aurli1|104882|estExt_Genewise1Plus.C_7_t10208	16091.85	-0.8566493	0.25256151	0.0003411178	0.000778034
jgi|Aurli1|10489|gm1.10489_g	7.089907	-2.764935	0.80668508	2.123612e-05	5.815911e-05
jgi|Aurli1|104908|estExt_Genewise1Plus.C_7_t10242	4674.998	0.7898208	0.14627504	3.842596e-08	1.517999e-07
jgi|Aurli1|10491|gm1.10491_g	1.083444	-0.5553355	0.88434686	0.2877997	0.3563853
jgi|Aurli1|10493|gm1.10493_g	723.0044	2.730919	0.26850842	2.080012e-25	3.985347e-24
jgi|Aurli1|104965|estExt_Genewise1Plus.C_7_t10320	775.6483	0.2154801	0.13908386	0.1158389	0.1600718
jgi|Aurli1|10503|gm1.10503_g	1.189825	0.3504367	0.8494753	0.4869475	0.5585884
jgi|Aurli1|10504|gm1.10504_g	3.967563	-1.638353	0.6441371	0.0009223564	0.001951922
jgi|Aurli1|105041|estExt_Genewise1Plus.C_7_t10435	80.19432	-0.8680105	0.21131125	1.966086e-05	5.414494e-05
jgi|Aurli1|105049|estExt_Genewise1Plus.C_7_t10443	241.4325	0.8627036	0.16702295	1.217101e-07	4.530523e-07
jgi|Aurli1|10505|gm1.10505_g	3.475501	0.08409082	0.49341488	0.8357059	0.8699038
jgi|Aurli1|105065|estExt_Genewise1Plus.C_7_t10466	73754.2	1.146603	0.17823401	3.355106e-11	1.862831e-10
jgi|Aurli1|10507|gm1.10507_g	31.02269	0.249143	0.23043906	0.2598402	0.3260369
jgi|Aurli1|10508|gm1.10508_g	15.5702	0.02613839	0.29881964	0.9252736	0.941785
jgi|Aurli1|105083|estExt_Genewise1Plus.C_7_t10490	1140.032	0.09817628	0.17938357	0.5748014	0.6414557
jgi|Aurli1|10512|gm1.10512_g	430.7738	0.2346874	0.10023198	0.01829705	0.03039602
jgi|Aurli1|105226|estExt_Genewise1Plus.C_7_t20173	1258.514	-0.1252728	0.08725634	0.148727	0.1997664
jgi|Aurli1|10524|gm1.10524_g	482.8877	-0.02755068	0.15674039	0.8578523	0.8880991
jgi|Aurli1|105291|estExt_Genewise1Plus.C_7_t20259	358.3139	-0.6190868	0.14297304	1.071269e-05	3.068749e-05
jgi|Aurli1|10534|gm1.10534_g	4.051039	-3.6249	0.83906339	6.75572e-07	2.279056e-06
jgi|Aurli1|105381|estExt_Genewise1Plus.C_8_t10037	123.9309	-0.5724506	0.17003587	0.0005696595	0.001252677
jgi|Aurli1|10539|gm1.10539_g	9.068053	-4.104326	0.72563179	8.8939e-10	4.264356e-09
jgi|Aurli1|10544|gm1.10544_g	21.35917	-5.793296	0.58883581	4.230617e-25	7.911734e-24
jgi|Aurli1|105487|estExt_Genewise1Plus.C_8_t10169	100.1182	-1.893201	0.15563828	1.479255e-35	5.416629e-34
jgi|Aurli1|10550|gm1.10550_g	16.11214	-1.824389	0.60027096	0.0001370375	0.0003328855
jgi|Aurli1|105514|estExt_Genewise1Plus.C_8_t10202	292.9936	-0.001022693	0.18572827	0.9954886	0.9964293
jgi|Aurli1|10553|gm1.10553_g	332.8583	-0.288844	0.30873745	0.313173	0.3836408
jgi|Aurli1|105535|estExt_Genewise1Plus.C_8_t10229	235.084	-0.5483101	0.09625684	9.552787e-09	4.044741e-08
jgi|Aurli1|105574|estExt_Genewise1Plus.C_8_t10279	351.2787	0.6250655	0.10286183	8.846033e-10	4.24415e-09
jgi|Aurli1|105585|estExt_Genewise1Plus.C_8_t10290	207.3119	0.001529167	0.14057367	0.9911887	0.9929966
jgi|Aurli1|10559|gm1.10559_g	9.085815	-4.687948	0.67725348	1.636698e-13	1.148709e-12
jgi|Aurli1|1056|gm1.1056_g	255.6841	0.7606762	0.20655509	0.00013536	0.0003290801
jgi|Aurli1|105607|estExt_Genewise1Plus.C_8_t10312	9445.922	0.66802	0.22857749	0.002285869	0.004518117
jgi|Aurli1|10567|gm1.10567_g	89.90627	-2.521682	0.34586493	1.4402e-14	1.115309e-13
jgi|Aurli1|10569|gm1.10569_g	52.09989	-2.00463	0.31953471	1.160237e-11	6.76881e-11
